hour,lead_time_hours,variable,models_reporting,providers_reporting,model_spread,provider_spread
2026-08-05T15:00,63,swell_wave_direction,5,3,29.00,27.50
2026-08-05T16:00,64,swell_wave_height,5,3,0.46,0.41
2026-08-05T16:00,64,swell_wave_period,5,3,1.95,1.90
2026-08-05T16:00,64,swell_wave_direction,5,3,27.00,26.00
2026-08-05T17:00,65,swell_wave_height,5,3,0.44,0.40
2026-08-05T17:00,65,swell_wave_period,5,3,2.00,1.95
2026-08-05T17:00,65,swell_wave_direction,5,3,26.00,24.50
2026-08-05T18:00,66,swell_wave_height,5,3,0.42,0.38
2026-08-05T18:00,66,swell_wave_period,5,3,2.00,1.97
2026-08-05T18:00,66,swell_wave_direction,5,3,26.00,25.50
2026-08-05T19:00,67,swell_wave_height,5,3,0.52,0.46
2026-08-05T19:00,67,swell_wave_period,5,3,1.90,1.50
2026-08-05T19:00,67,swell_wave_direction,5,3,26.00,26.00
2026-08-05T20:00,68,swell_wave_height,5,3,0.62,0.56
2026-08-05T20:00,68,swell_wave_period,5,3,0.55,0.45
2026-08-05T20:00,68,swell_wave_direction,5,3,51.00,50.50
2026-08-05T21:00,69,swell_wave_height,5,3,0.68,0.66
2026-08-05T21:00,69,swell_wave_period,5,3,0.45,0.40
2026-08-05T21:00,69,swell_wave_direction,5,3,50.00,49.50
2026-08-05T22:00,70,swell_wave_height,5,3,0.78,0.66
2026-08-05T22:00,70,swell_wave_period,5,3,0.50,0.33
2026-08-05T22:00,70,swell_wave_direction,5,3,53.00,52.50
2026-08-05T23:00,71,swell_wave_height,5,3,0.70,0.61
2026-08-05T23:00,71,swell_wave_period,5,3,0.35,0.18
2026-08-05T23:00,71,swell_wave_direction,5,3,49.00,48.50
2026-08-06T00:00,72,swell_wave_height,5,3,0.80,0.74
2026-08-06T00:00,72,swell_wave_period,5,3,0.35,0.22
2026-08-06T00:00,72,swell_wave_direction,5,3,48.00,47.50
2026-08-06T01:00,73,swell_wave_height,5,3,0.66,0.62
2026-08-06T01:00,73,swell_wave_period,5,3,2.50,1.80
2026-08-06T01:00,73,swell_wave_direction,5,3,45.00,44.00
2026-08-06T02:00,74,swell_wave_height,5,3,0.74,0.66
2026-08-06T02:00,74,swell_wave_period,5,3,2.60,2.60
2026-08-06T02:00,74,swell_wave_direction,5,3,45.00,44.50
2026-08-06T03:00,75,swell_wave_height,5,3,0.82,0.69
2026-08-06T03:00,75,swell_wave_period,5,3,2.65,2.65
2026-08-06T03:00,75,swell_wave_direction,5,3,45.00,43.50
2026-08-06T04:00,76,swell_wave_height,5,3,0.92,0.91
2026-08-06T04:00,76,swell_wave_period,5,3,2.70,2.62
2026-08-06T04:00,76,swell_wave_direction,5,3,45.00,43.50
2026-08-06T05:00,77,swell_wave_height,5,3,0.96,0.95
2026-08-06T05:00,77,swell_wave_period,5,3,2.75,2.65
2026-08-06T05:00,77,swell_wave_direction,5,3,46.00,45.00
2026-08-06T06:00,78,swell_wave_height,5,3,1.04,1.01
2026-08-06T06:00,78,swell_wave_period,5,3,3.05,2.90
2026-08-06T06:00,78,swell_wave_direction,5,3,47.00,45.50
2026-08-06T07:00,79,swell_wave_height,5,3,0.92,0.84
2026-08-06T07:00,79,swell_wave_period,5,3,2.20,1.85
2026-08-06T07:00,79,swell_wave_direction,5,3,25.00,11.50
2026-08-06T08:00,80,swell_wave_height,4,3,1.02,1.01
